Category,Product Link,Product Name,Price,Quantity
Gedroogd fruit & noten ,/boodschappen/aardappelen-groente-fruit/gedroogd-fruit-noten/dadels%20zonder%20pit/46273,Dadels zonder pit,0.99,150 g
Gedroogd fruit & noten ,/boodschappen/aardappelen-groente-fruit/gedroogd-fruit-noten/abrikozen%20zonder%20pit%20ready%20to%20eat/46420,Abrikozen zonder pit ready to eat,2.99,250 g
Gedroogd fruit & noten ,/boodschappen/aardappelen-groente-fruit/gedroogd-fruit-noten/pijnboompitten/66225,Pijnboompitten,3.99,100 g
Gedroogd fruit & noten ,/boodschappen/aardappelen-groente-fruit/gedroogd-fruit-noten/walnoten%20in%20dop/82825,Walnoten in dop,2.49,400 g
Gedroogd fruit & noten ,/boodschappen/aardappelen-groente-fruit/gedroogd-fruit-noten/sukkari%20dadels/94172,Sukkari dadels,3.99,500 g
Gedroogd fruit & noten ,/boodschappen/aardappelen-groente-fruit/gedroogd-fruit-noten/dadels/102320,Dadels,2.99,550 g
Gedroogd fruit & noten ,/boodschappen/aardappelen-groente-fruit/gedroogd-fruit-noten/bio%2b%20bio%20walnoten%20gepeld/103395,Bio+ Bio walnoten gepeld,1.99,110 g
Gedroogd fruit & noten ,/boodschappen/aardappelen-groente-fruit/gedroogd-fruit-noten/pittenmix%20culinair/46136,Pittenmix culinair,1.49,100 g
Gedroogd fruit & noten ,/boodschappen/aardappelen-groente-fruit/gedroogd-fruit-noten/miras%20zonnebloempitten/58140,Miras Zonnebloempitten,1.49,150 g
Gedroogd fruit & noten ,/boodschappen/aardappelen-groente-fruit/gedroogd-fruit-noten/miras%20pompoenpitten/58141,Miras Pompoenpitten,2.69,200 g
Groente ,/boodschappen/aardappelen-groente-fruit/groente/trostomaten%20los/3376,Trostomaten los,1.38,1 kg (ca. 10 stuks)
Groente ,/boodschappen/aardappelen-groente-fruit/groente/1%20de%20beste%20mini%20cherry%20trostomaten/12673,1 de Beste Mini cherry trostomaten,1.99,250 g
Groente ,/boodschappen/aardappelen-groente-fruit/groente/sugar%20snaps/79208,Sugar snaps,2.29,250 g
Groente ,/boodschappen/aardappelen-groente-fruit/groente/1%20de%20beste%20waspeen/71751,1 de Beste Waspeen,0.79,500 g
Groente ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20rode%20bieten%20gekookt/9,Bio+ Biologische rode bieten gekookt,0.99,500 g
Groente ,/boodschappen/aardappelen-groente-fruit/groente/sperziebonen/4437,Sperziebonen,0.98,1 kg
Groente ,/boodschappen/aardappelen-groente-fruit/groente/brandwijk%20groene%20erwten/4543,Brandwijk Groene erwten,0.99,500 g
Groente ,/boodschappen/aardappelen-groente-fruit/groente/1%20de%20beste%20bloemkoolroosjes/58195,1 de Beste Bloemkoolroosjes,1.99,400 g
Groente ,/boodschappen/aardappelen-groente-fruit/groente/1%20de%20beste%20broccoliroosjes/58196,1 de Beste Broccoliroosjes,1.99,400 g
Groente ,/boodschappen/aardappelen-groente-fruit/groente/courgette/4439,Courgette,0.59,Per stuk
Groente ,/boodschappen/aardappelen-groente-fruit/groente/komkommer/4463,Komkommer,0.79,Per stuk
Groente ,/boodschappen/aardappelen-groente-fruit/groente/paprikamix/4464,Paprikamix,1.79,3 stuks
Groente ,/boodschappen/aardappelen-groente-fruit/groente/aubergine/4465,Aubergine,0.79,Per stuk
Groente ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20komkommer/4520,Bio+ Biologische komkommer,1.29,Per stuk
Groente ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20courgette/6636,Bio+ Biologische courgette,0.99,Per stuk
Groente ,/boodschappen/aardappelen-groente-fruit/groente/puntpaprika%20rood/41475,Puntpaprika rood,2.89,500 g
Groente ,/boodschappen/aardappelen-groente-fruit/groente/1%20de%20beste%20snoepkomkommer/41683,1 de Beste Snoepkomkommer,2.49,10 stuks
Groente ,/boodschappen/aardappelen-groente-fruit/groente/paprika%20rood/58132,Paprika rood,0.69,Per stuk
Groente ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20paprika%20duo/74094,Bio+ Biologische paprika duo,2.39,2 stuks
Groente ,/boodschappen/aardappelen-groente-fruit/groente/1%20de%20beste%20snackpaprika/79814,1 de Beste Snackpaprika,2.49,300 g
Groente ,/boodschappen/aardappelen-groente-fruit/groente/1%20de%20beste%20rode%20uien/4490,1 de Beste Rode uien,1.29,1 kg
Groente ,/boodschappen/aardappelen-groente-fruit/groente/uien%20los/4508,Uien los,1.18,1 kg (ca. 10 stuks)
Groente ,/boodschappen/aardappelen-groente-fruit/groente/knoflook%20per%20baal/4524,Knoflook per baal,2.99,500 g
Groente ,/boodschappen/aardappelen-groente-fruit/groente/1%20de%20beste%20uien/8475,1 de Beste Uien,1.19,1 kg
