product_name,product_link,product_category,product_price,product_quantity
Jumbo Fijnproevers Blauwe Bessen 200g,,aardappelen_groente_fruit,4.99,kilo
Jumbo Zuurkool Naturel 520g,,aardappelen_groente_fruit,0.79,kilo
Jumbo Wokgroente Chinees 400g,,aardappelen_groente_fruit,2.69,kilo
Jumbo Taugé 125g,,aardappelen_groente_fruit,1.09,kilo
Jumbo Nasi/Bami Groente 250g,,aardappelen_groente_fruit,1.42,kilo
Jumbo Gesneden Rode Uien 150g,,aardappelen_groente_fruit,1.99,kilo
Jumbo Roerbakmix Provençaals 400g,,aardappelen_groente_fruit,2.99,kilo
Jumbo Gesneden Snijbonen 200g,,aardappelen_groente_fruit,1.95,kilo
MAGGI Aardappelpuree voor Stamppot Extra Grof 2 x 115g,,aardappelen_groente_fruit,2.18,kilo
Jumbo Melange Jonge Bladsla & Veldsla 75g,,aardappelen_groente_fruit,1.31,kilo
Jumbo Platte Peterselie 15g,,aardappelen_groente_fruit,1.13,kilo
Hak Worteltjes 680g,,aardappelen_groente_fruit,2.73,kilo
Jumbo Geroosterde Pijnboompitten 30g,,aardappelen_groente_fruit,1.99,kilo
Boeren Rauwkost met Wortel en Selderij 400g,,aardappelen_groente_fruit,2.85,kilo
Jumbo Zachtfruit Mix 250g,,aardappelen_groente_fruit,4.99,kilo
Jumbo Julienne Wortel 300g,,aardappelen_groente_fruit,1.99,kilo
Jumbo Fijngesneden Opbakaardappelen 600g,,aardappelen_groente_fruit,1.4,kilo
Jumbo Verse Franse Friet 1kg,,aardappelen_groente_fruit,2.65,kilo
Jumbo Kleine Bloemkool & Broccoli 2-3 Personen,,aardappelen_groente_fruit,2.99,stuk
Jumbo Biologisch Aardappelen Vastkokend 2kg,,aardappelen_groente_fruit,3.99,kilo
Jumbo Fruitschaal Zomer Meloen - Ananas Appel - Druif 450g,,aardappelen_groente_fruit,4,kilo
Jumbo Radijs,,aardappelen_groente_fruit,0.99,stuk
Jumbo Bessen Rood 125g,,aardappelen_groente_fruit,2.29,kilo
Kühne Rauwkost Salade Zoetzuur 330g,,aardappelen_groente_fruit,1.87,kilo
Jumbo Paprika Groen,,aardappelen_groente_fruit,0.99,stuk
Jumbo Peterselie 40g,,aardappelen_groente_fruit,1.39,kilo
Jumbo Rode Grapefruit 3 Stuks,,aardappelen_groente_fruit,2.49,stuk
Jumbo Rauwkost Komkommer 150g,,aardappelen_groente_fruit,2.29,kilo
Jumbo Roosjes Bloemkool 200g,,aardappelen_groente_fruit,2.42,kilo
Jumbo Bavarois Aardbei 110g,,aardappelen_groente_fruit,2.35,kilo
Jumbo Baby Spinazie 100g,,aardappelen_groente_fruit,1.29,kilo
Jumbo Gewelde Abrikozen 250g,,aardappelen_groente_fruit,4.49,kilo
Jumbo Mini Champignons 175g,,aardappelen_groente_fruit,2.29,kilo
Hak Edamame Bonen 150g,,aardappelen_groente_fruit,2.44,kilo
Jumbo Aardappelen Krieltjes 500g,,aardappelen_groente_fruit,1.99,kilo
CêlaVíta Oma's opbak aardappeltjes 450g,,aardappelen_groente_fruit,2.08,kilo
Komkommer Rauwkost in Romige Dressing 400g,,aardappelen_groente_fruit,2.69,kilo
Jumbo Biologisch Rucola 40g,,aardappelen_groente_fruit,1.25,kilo
Jumbo Biologisch Gesneden Witte Kool 300g,,aardappelen_groente_fruit,2.25,kilo
Jumbo Biologisch Limoen 3 Stuks,,aardappelen_groente_fruit,1.69,stuk
Jumbo Haricots Verts 250g,,aardappelen_groente_fruit,2.35,kilo
Jumbo Aubergine Biologisch,,aardappelen_groente_fruit,1.89,stuk
Jumbo Roerbak Paddenstoelen Mix 200g,,aardappelen_groente_fruit,2.49,kilo
Jumbo Mix Mosselgroente 400g,,aardappelen_groente_fruit,1.95,kilo
Hak Witte Bonen in Tomatensaus 720g,,aardappelen_groente_fruit,3.13,kilo
